id_device,id_user,device_type,device_brand,device_model
20,3675,1,0,0
42,3647,1,11,9
63,3954,1,11,14
80,2838,1,4,1
97,302,1,4,1
151,163,1,9,5
159,3963,1,6,9
177,461,1,11,1
199,2528,1,5,2
241,971,1,6,18
259,2109,1,5,10
284,111,1,0,0
287,96,1,0,0
292,2783,1,0,0
295,2208,1,9,12
315,3217,1,11,1
331,2160,1,6,23
336,3344,1,2,14
337,1421,1,8,7
349,3179,1,2,11
354,2520,1,7,6
356,2173,1,0,0
377,1727,1,1,11
392,947,1,2,1
399,1895,1,12,20
423,3764,1,0,0
426,341,1,0,0
440,2126,1,3,14
466,1842,1,8,2
471,1580,1,4,1
485,2789,1,4,9
494,1151,1,1,19
500,2669,1,12,10
520,537,1,0,0
524,2118,1,4,10
539,121,1,0,0
550,3139,1,11,22
555,2454,1,10,10
609,1644,1,4,21
615,871,1,1,18
621,630,1,0,0
700,1729,1,0,0
721,1843,1,0,0
785,3062,1,2,8
789,3292,1,4,16
817,46,1,6,4
825,1841,1,9,6
831,3393,1,2,5
838,2282,1,5,4
876,119,1,11,5
880,2256,1,4,24
881,814,1,8,9
894,2405,1,6,16
929,408,1,5,20
936,3806,1,0,0
943,2329,1,11,8
959,3161,1,2,4
994,721,1,3,13
999,3757,1,0,0
1036,2865,1,4,9
1042,1772,1,12,23
1047,2792,1,5,4
1057,171,1,5,7
1062,2867,1,7,13
1066,737,1,7,15
1069,1401,1,10,7
1082,3361,1,9,19
1096,3902,1,1,4
1120,2882,1,10,20
1150,275,1,6,8
1152,2964,1,5,10
1156,2407,1,0,0
1208,128,1,2,11
1223,650,1,2,12
1261,1056,1,1,20
1284,2442,1,5,8
1373,2532,1,0,0
1422,3535,1,1,17
1444,3265,1,9,19
1452,3711,1,11,15
1459,3235,1,0,0
1462,3069,1,12,14
1468,2599,1,0,0
1474,1699,1,3,4
1488,2645,1,2,13
1527,2171,1,0,0
1537,1503,1,0,0
1542,3076,1,5,24
1546,1755,1,5,3
1558,2527,1,11,19
1570,606,1,5,10
1573,2719,1,10,13
1580,381,1,11,24
1602,1979,1,5,13
1606,3443,1,0,0
1641,3203,1,0,0
1674,1669,1,12,1
1682,2969,1,6,21
1693,1683,1,0,0
1731,1570,1,0,0
1734,1094,1,11,24
1740,3820,1,11,24
1742,2653,1,4,2
1754,1505,1,0,0
1815,601,1,12,19
1828,70,1,0,0
1832,2342,1,7,13
1840,1797,1,10,22
1854,39,1,2,19
1880,2192,1,9,17
1886,2487,1,5,3
1979,2406,1,0,0
1993,1635,1,3,17
1999,3011,1,8,1
2071,2759,1,4,22
2116,1100,1,1,17
2122,3937,1,0,0
2197,3124,1,3,5
2205,3174,1,1,14
2207,3035,1,3,24
2208,3372,1,11,2
2228,1078,1,2,24
2230,1082,1,3,2
2278,1318,1,10,16
2313,3080,1,3,11
2329,3196,1,9,15
2330,1618,1,5,1
2342,578,1,0,0
2368,235,1,3,5
2377,81,1,9,22
2378,674,1,6,15
2386,1610,1,12,15
2396,130,1,9,1
2402,75,1,0,0
2404,1529,1,1,19
2411,844,1,7,24
2423,2435,1,4,7
2424,2827,1,5,8
2426,1057,1,5,6
2437,3242,1,12,22
2444,1682,1,0,0
2457,2304,1,10,9
2518,2744,1,4,3
2535,1043,1,0,0
2575,1363,1,11,17
2609,1189,1,11,21
2634,1002,1,12,21
2667,2609,1,9,5
2684,2252,1,0,0
2685,3473,1,1,5
2707,2381,1,2,19
2724,2026,1,7,9
2741,867,1,1,22
2775,3622,1,6,17
2784,1244,1,8,16
2803,1643,1,0,0
2807,2703,1,11,22
2811,1448,1,4,14
2857,3658,1,5,2
2860,3761,1,5,11
2862,3317,1,5,3
2881,1357,1,0,0
2920,2120,1,10,9
2956,936,1,10,22
2959,62,1,5,2
2960,3670,1,0,0
2976,67,1,7,5
2979,2094,1,4,2
3006,17,1,1,3
3015,1494,1,4,11
3029,3482,1,1,20
3054,673,1,4,16
3067,228,1,11,24
3074,273,1,0,0
3086,2679,1,7,5
3098,241,1,12,14
3117,2191,1,9,13
3137,1074,1,6,9
3148,3383,1,4,20
3182,1159,1,5,7
3197,3366,1,5,3
3198,1331,1,0,0
3233,3452,1,8,2
3251,3423,1,1,19
3309,2444,1,1,2
3311,497,1,8,5
3351,1290,1,11,20
3386,3000,1,11,8
3392,1914,1,7,11
3397,1601,1,12,21
3399,3947,1,10,6
3429,244,1,10,7
3450,129,1,0,0
3456,3977,1,3,15
3466,2686,1,6,23
3484,3826,1,2,4
3490,1072,1,9,19
3510,1738,1,10,24
3525,2394,1,12,19
3660,3937,2,2,3
3756,2735,2,0,0
3796,2719,2,0,0
3803,111,2,9,2
3815,1669,2,2,22
3816,2039,2,0,0
3870,46,2,0,0
3871,2789,2,0,0
3889,3203,2,2,22
3947,2191,2,6,20
3960,2744,2,5,7
3974,606,2,4,18
3978,381,2,0,0
3981,1601,2,11,6
4004,1290,2,0,0
4020,2126,2,7,14
4037,3806,2,11,18
4054,1683,2,5,22
4063,302,2,4,3
4064,1401,2,5,8
4093,3963,2,0,0
4120,814,2,1,5
4178,1074,2,0,0
4188,1078,2,5,1
4206,3217,2,9,13
4214,3366,2,8,13
4229,867,2,11,22
4295,3035,2,11,3
4308,3161,2,2,21
4316,1331,2,6,14
4319,2783,2,5,6
4324,2703,2,1,22
4333,2109,2,0,0
4342,461,2,8,9
4346,3711,2,6,3
4382,674,2,1,13
4472,2394,2,10,7
4492,3805,2,0,0
4494,163,2,1,6
4514,2026,2,0,0
4535,2192,2,11,24
4553,408,2,4,15
4563,1072,2,0,0
4598,17,2,8,12
4604,3361,2,6,9
4635,1772,2,9,14
4669,2969,2,0,0
4678,1635,2,8,6
4688,1002,2,11,17
4690,1505,2,2,15
4735,3482,2,1,23
4737,1529,2,3,23
4743,3423,2,6,20
4746,3954,2,12,4
4779,3372,2,6,20
4807,3383,2,0,0
4821,2599,2,11,3
4827,2528,2,0,0
4838,3675,2,4,18
4857,3826,2,9,18
4906,275,2,10,24
4932,81,2,9,1
4941,75,2,5,1
4956,96,2,12,1
4958,3452,2,11,11
4978,2160,2,4,21
4985,1755,2,9,24
4991,601,2,0,0
4998,2435,2,2,15
5015,1189,2,7,10
5033,2094,2,0,0
5057,1057,2,1,7
5114,1914,2,12,7
5172,3000,2,0,0
5198,1610,2,3,16
5203,1082,2,9,14
5246,2532,2,3,16
5260,241,2,0,0
5289,2120,2,0,0
5327,1842,2,7,5
5339,67,2,3,3
5404,1682,2,9,18
5423,2527,2,8,5
5434,1797,2,0,0
5439,1503,2,9,18
5499,2021,2,9,17
5503,1494,2,4,16
5511,1246,2,12,15
5540,2487,2,0,0
5548,2827,2,0,0
5555,2646,2,1,18
5558,2865,2,11,14
5574,2062,2,7,12
5575,3235,2,8,17
5577,341,2,1,12
5585,2118,2,9,20
5618,1508,2,6,5
5648,1895,2,12,7
5650,3977,2,2,17
5655,171,2,0,0
5657,1421,2,0,0
5660,2838,2,4,1
5671,1979,2,10,14
5698,1506,2,0,0
5703,2407,2,6,23
5705,3820,2,0,0
5708,578,2,6,19
5712,2686,2,2,13
5722,2381,2,11,3
5733,2329,2,0,0
5778,3174,2,0,0
7441,3217,4,0,0
7448,1503,4,4,13
7492,2646,4,0,0
7524,3473,4,0,0
7571,2599,4,4,13
7574,814,4,9,3
7614,2867,4,7,10
7621,1318,4,7,14
7655,3820,4,3,16
7683,871,4,3,23
7701,3161,4,0,0
7702,2435,4,0,0
7714,1421,4,9,13
7730,3366,4,12,10
7762,3622,4,0,0
7779,1363,4,0,0
7786,3711,4,0,0
7849,844,4,7,7
7887,121,4,10,3
7892,2304,4,12,9
7897,2160,4,0,0
7913,128,4,0,0
7916,2883,4,0,0
7940,3647,4,3,20
7945,2405,4,0,0
7999,1797,4,11,4
8020,1072,4,11,21
8062,302,4,4,14
8066,2109,4,6,9
8092,1043,4,5,2
8101,2645,4,11,19
8117,2062,4,7,23
8172,3670,4,9,18
8178,3317,4,2,12
8180,867,4,10,10
8214,1772,4,0,0
8234,17,4,0,0
8277,3139,4,1,23
8302,2394,4,0,0
8312,1699,4,6,22
15360,0,10,1,1
15361,0,10,1,1
15362,0,10,1,1
15363,0,10,1,1
15364,0,10,1,1
15366,0,14,1,1
15367,0,10,1,1
15369,0,14,1,1
15372,0,14,1,1
15373,0,14,1,1
15374,0,14,1,1
15375,0,14,1,1
15377,0,14,1,1
15378,0,14,1,1
15380,0,14,1,1
15382,0,14,1,1
15384,0,14,1,1
15386,0,14,1,1
15387,0,14,1,1
15388,0,14,1,1
15390,0,14,1,1
15397,0,14,1,1
15399,0,14,1,1
15401,0,14,1,1
15402,0,14,1,1
15403,0,14,1,1
15404,0,14,1,1
15405,0,14,1,1
15409,0,14,1,1
15410,0,14,1,1
15463,0,14,1,1
15466,0,14,1,1
15468,0,14,1,1
15469,0,14,1,1
15471,0,14,1,1
15496,0,14,1,1
15497,0,14,1,1
15528,0,14,1,1
15530,0,14,1,1
