id_device,id_user,device_type,device_brand,device_model
15530,0,14,1,1
1742,2653,1,4,2
3386,3000,1,11,8
2920,2120,1,10,9
1570,606,1,5,10
15604,0,14,1,1
5618,1508,2,6,5
15566,0,14,1,1
336,3344,1,2,14
999,3757,1,0,0
4342,461,2,8,9
1462,3069,1,12,14
4688,1002,2,11,17
5660,2838,2,4,1
5511,1246,2,12,15
4020,2126,2,7,14
3978,381,2,0,0
1459,3235,1,0,0
1057,171,1,5,7
15390,0,14,1,1
15496,0,14,1,1
1580,381,1,11,24
7779,1363,4,0,0
8302,2394,4,0,0
471,1580,1,4,1
3816,2039,2,0,0
151,163,1,9,5
1096,3902,1,1,4
97,302,1,4,1
5655,171,2,0,0
4598,17,2,8,12
3889,3203,2,2,22
2881,1357,1,0,0
16006,0,9,1,1
1832,2342,1,7,13
2197,3124,1,3,5
2396,130,1,9,1
2230,1082,1,3,2
4206,3217,2,9,13
3397,1601,1,12,21
159,3963,1,6,9
