id_device,id_user,device_type,device_brand,device_model
7522,2836,4,8,23
3121,3271,1,0,0
4798,3319,2,0,0
3546,2358,1,0,0
4705,3812,2,5,22
14973,0,16,1,1
4983,1192,2,0,0
2969,3524,1,0,0
458,1863,1,8,20
3932,2559,2,0,0
7525,1864,4,0,0
1355,2322,1,4,13
15922,0,14,1,1
7879,1027,4,11,21
4946,2369,2,8,22
3208,2059,1,6,8
2539,787,1,3,13
3092,2263,1,8,1
4650,1367,2,12,22
4188,1078,2,5,1
15564,0,14,1,1
2111,1245,1,0,0
3089,3319,1,5,14
3338,3853,1,12,8
14966,0,16,1,1
448,72,1,7,9
4763,1834,2,9,13
3127,2899,1,5,15
15518,0,14,1,1
14965,0,16,1,1
4068,3914,2,0,0
2191,1293,1,7,11
1116,2559,1,1,19
15917,0,14,1,1
1576,271,1,0,0
1350,3442,1,9,5
2829,3019,1,0,0
7516,3007,4,2,16
14971,0,16,1,1
2907,2366,1,8,20
3059,1223,1,8,23
8115,271,4,4,15
647,2248,1,2,19
4918,2396,2,7,21
5005,1533,2,0,0
15928,0,14,1,1
4891,717,2,3,24
