id_device,id_user,device_type,device_brand,device_model
4610,2733,2,6,18
4225,1402,2,11,24
3243,3688,1,0,0
5793,28,2,0,0
1132,1405,1,9,19
3395,2291,1,0,0
15373,0,14,1,1
160,3189,1,0,0
4898,3168,2,5,24
16044,0,9,1,1
4563,1072,2,0,0
15397,0,14,1,1
210,1412,1,0,0
16183,0,11,1,1
3501,3255,1,3,9
4746,3954,2,12,4
7537,1656,4,0,0
4468,2195,2,9,20
426,341,1,0,0
2402,75,1,0,0
7897,2160,4,0,0
15903,0,10,1,1
2342,578,1,0,0
8039,1185,4,0,0
4319,2783,2,5,6
5074,3854,2,11,19
953,658,1,2,15
4802,2291,2,8,17
5586,2664,2,0,0
3268,1333,1,10,10
5705,3820,2,0,0
7870,1931,4,12,19
5097,3717,2,8,15
740,3823,1,4,3
1161,1946,1,0,0
1186,3418,1,6,10
16072,0,11,1,1
2114,3717,1,3,1
2456,3836,1,0,0
5591,290,2,0,0
2330,1618,1,5,1
16145,0,11,1,1
3209,981,1,3,19
