id_device,id_user,device_type,device_brand,device_model
7,2772,1,11,1
29,3004,1,0,0
63,3954,1,11,14
149,1262,1,0,0
160,3189,1,0,0
210,1412,1,0,0
241,971,1,6,18
257,2195,1,10,8
265,3295,1,0,0
292,2783,1,0,0
306,1141,1,0,0
319,2219,1,12,13
325,2842,1,7,15
331,2160,1,6,23
356,2173,1,0,0
390,708,1,0,0
423,3764,1,0,0
426,341,1,0,0
471,1580,1,4,1
480,3951,1,0,0
492,686,1,1,4
499,1383,1,4,8
520,537,1,0,0
576,3296,1,0,0
615,871,1,1,18
667,487,1,4,10
676,2196,1,7,5
677,290,1,3,8
707,2733,1,0,0
740,3823,1,4,3
780,1402,1,10,20
785,3062,1,2,8
789,3292,1,4,16
797,3010,1,1,2
811,874,1,2,4
817,46,1,6,4
825,1841,1,9,6
838,2282,1,5,4
847,2627,1,3,6
862,2926,1,12,21
876,119,1,11,5
879,162,1,11,8
880,2256,1,4,24
887,1710,1,12,14
899,2664,1,12,7
918,1964,1,0,0
936,3806,1,0,0
953,658,1,2,15
970,3540,1,2,13
977,1926,1,0,0
988,3505,1,10,19
994,721,1,3,13
999,3757,1,0,0
1017,3934,1,0,0
1042,1772,1,12,23
1047,2792,1,5,4
1048,1894,1,0,0
1059,3162,1,0,0
1062,2867,1,7,13
1066,737,1,7,15
1078,1260,1,12,11
1124,702,1,6,18
1132,1405,1,9,19
1138,3681,1,0,0
1152,2964,1,5,10
1161,1946,1,0,0
1179,1185,1,4,22
1186,3418,1,6,10
1377,1931,1,0,0
1398,690,1,9,24
1408,1656,1,9,11
1422,3535,1,1,17
1444,3265,1,9,19
1468,2599,1,0,0
1488,2645,1,2,13
1527,2171,1,0,0
1537,1503,1,0,0
1542,3076,1,5,24
1547,282,1,9,24
1548,3254,1,6,15
1558,2527,1,11,19
1563,2708,1,1,6
1567,1838,1,10,18
1580,381,1,11,24
1602,1979,1,5,13
1606,3443,1,0,0
1626,1163,1,0,0
1641,3203,1,0,0
1650,1481,1,2,10
1682,2969,1,6,21
1729,3299,1,8,16
1740,3820,1,11,24
1750,1125,1,3,12
1754,1505,1,0,0
1832,2342,1,7,13
1835,1005,1,0,0
1855,3491,1,0,0
1905,3168,1,0,0
1910,1904,1,6,10
1923,3852,1,3,14
1931,1792,1,11,21
1950,2156,1,0,0
1973,1393,1,12,9
2018,3961,1,6,6
2019,459,1,5,15
2023,2835,1,9,23
2045,3600,1,12,5
2114,3717,1,3,1
2142,100,1,0,0
2197,3124,1,3,5
2205,3174,1,1,14
2208,3372,1,11,2
2228,1078,1,2,24
2273,3613,1,6,9
2281,2847,1,0,0
2311,3204,1,4,5
2329,3196,1,9,15
2330,1618,1,5,1
2338,1468,1,0,0
2342,578,1,0,0
2377,81,1,9,22
2394,2658,1,0,0
2402,75,1,0,0
2410,3661,1,0,0
2412,752,1,0,0
2429,3454,1,0,0
2432,3210,1,12,21
2437,3242,1,12,22
2456,3836,1,0,0
2457,2304,1,10,9
2485,208,1,0,0
2493,2543,1,0,0
2535,1043,1,0,0
2573,236,1,0,0
2578,2533,1,9,8
2601,2032,1,3,22
2626,1323,1,0,0
