id_device,id_user,device_type,device_brand,device_model
7,2772,1,11,1
8,3827,1,2,3
10,190,1,0,0
53,3453,1,8,6
66,3932,1,7,16
85,3036,1,0,0
86,1739,1,7,2
123,3982,1,7,1
153,2928,1,12,15
171,3278,1,5,14
184,2202,1,6,6
189,167,1,7,13
192,3855,1,3,13
208,337,1,2,4
218,376,1,11,11
221,3914,1,2,3
223,2136,1,0,0
285,950,1,10,15
403,1514,1,12,11
456,492,1,9,8
457,3949,1,11,22
461,1605,1,9,7
515,95,1,0,0
530,2884,1,0,0
548,2220,1,1,18
562,1751,1,0,0
606,896,1,5,23
623,2897,1,0,0
626,3676,1,2,2
627,3985,1,9,18
660,2071,1,2,19
677,290,1,3,8
689,2309,1,0,0
702,2538,1,8,16
735,3882,1,11,20
745,538,1,0,0
763,931,1,6,24
773,2837,1,0,0
834,2754,1,3,6
854,759,1,1,10
858,3573,1,8,10
903,1041,1,0,0
960,493,1,3,16
968,717,1,4,16
990,3818,1,4,18
1002,240,1,0,0
1004,2862,1,1,3
1038,2644,1,11,16
1048,1894,1,0,0
1063,2101,1,5,15
1067,715,1,1,4
1071,1367,1,0,0
1144,92,1,3,24
1166,2359,1,11,13
1176,428,1,4,3
1179,1185,1,4,22
1197,1052,1,12,16
1202,1264,1,8,22
1280,3365,1,6,17
1311,3339,1,0,0
1341,1064,1,11,17
1350,3442,1,9,5
1353,2982,1,0,0
1382,2696,1,0,0
1414,1461,1,12,24
1483,84,1,0,0
1486,3023,1,7,11
1524,2331,1,0,0
1553,380,1,6,1
1576,271,1,0,0
1578,2354,1,0,0
1600,1443,1,1,22
1601,2655,1,6,9
1620,757,1,9,2
1628,1647,1,8,9
1632,3666,1,5,12
1672,279,1,10,10
1681,2284,1,6,7
1691,3239,1,1,19
1700,1609,1,9,10
1729,3299,1,8,16
1760,3037,1,0,0
1761,3187,1,0,0
1786,1351,1,8,19
1789,1055,1,2,24
1791,2980,1,3,23
1848,2526,1,6,18
1857,3014,1,0,0
1874,362,1,0,0
1878,3394,1,2,3
1899,1126,1,9,22
1905,3168,1,0,0
1909,3945,1,2,7
1910,1904,1,6,10
1924,1786,1,8,20
1942,852,1,10,3
1960,3856,1,5,21
1961,202,1,8,20
1985,3740,1,9,23
1987,2040,1,12,13
1998,1519,1,1,15
2012,176,1,2,13
2023,2835,1,9,23
2027,3563,1,4,16
2033,2064,1,10,9
2035,3117,1,3,1
2045,3600,1,12,5
2078,1326,1,9,5
2113,2274,1,11,9
2128,56,1,4,9
2136,2424,1,12,22
2161,3007,1,11,1
