id_device,id_user,device_type,device_brand,device_model
2638,3648,1,5,6
16094,0,11,1,1
4402,641,2,5,7
3499,2665,1,7,5
8174,251,4,1,7
2928,1827,1,0,0
4866,3447,2,1,4
5188,2292,2,9,17
3237,3732,1,2,24
5780,796,2,7,3
8198,293,4,12,7
5391,1653,2,5,18
3782,3089,2,0,0
2810,1014,1,6,2
4986,1460,2,11,10
3047,525,1,0,0
119,2477,1,12,16
16157,0,11,1,1
1492,83,1,0,0
4800,2273,2,10,14
5104,2584,2,9,19
5016,2568,2,0,0
340,3850,1,3,16
554,286,1,0,0
7660,1827,4,12,20
16140,0,11,1,1
7854,3323,4,8,13
4116,1815,2,2,22
103,2592,1,4,2
5534,1411,2,7,7
5392,3396,2,1,15
129,2740,1,2,1
1243,320,1,11,23
4575,922,2,5,5
4128,30,2,10,17
1303,2327,1,10,14
5602,2952,2,2,16
1584,2036,1,6,20
16158,0,11,1,1
