id_device,id_user,device_type,device_brand,device_model
2,2922,1,6,16
29,3004,1,0,0
45,3614,1,8,12
48,470,1,0,0
55,2640,1,12,19
60,1859,1,1,20
67,3403,1,1,18
75,979,1,10,1
121,2856,1,6,2
135,265,1,9,24
163,1604,1,0,0
210,1412,1,0,0
233,3422,1,8,16
241,971,1,6,18
257,2195,1,10,8
265,3295,1,0,0
267,1372,1,5,13
283,2294,1,7,23
301,652,1,4,13
345,2718,1,3,9
357,1733,1,6,23
358,2698,1,1,6
359,274,1,8,5
362,2879,1,5,19
386,1855,1,5,2
407,1959,1,11,24
426,341,1,0,0
444,1079,1,0,0
452,610,1,0,0
486,1933,1,0,0
552,1736,1,1,20
567,816,1,1,8
594,1510,1,0,0
598,2129,1,5,16
621,630,1,0,0
635,3503,1,1,9
639,1654,1,2,21
650,900,1,0,0
662,1949,1,12,24
664,3059,1,0,0
666,417,1,9,23
667,487,1,4,10
675,2249,1,5,17
686,3859,1,11,24
690,2254,1,1,22
712,819,1,4,10
767,1849,1,10,17
768,2367,1,5,1
769,2727,1,11,10
774,3542,1,6,20
784,697,1,7,5
800,1288,1,12,7
804,3986,1,2,2
808,1875,1,6,18
811,874,1,2,4
823,2110,1,5,17
832,2562,1,0,0
847,2627,1,3,6
883,1650,1,12,5
887,1710,1,12,14
889,3496,1,8,12
930,1988,1,7,21
988,3505,1,10,19
995,465,1,3,11
1041,2933,1,10,23
1079,3046,1,6,4
1088,141,1,11,24
1091,1509,1,0,0
1099,2857,1,0,0
1114,1880,1,12,22
1138,3681,1,0,0
1148,253,1,2,18
1157,1831,1,6,24
1199,2151,1,12,5
1200,2683,1,3,7
1224,3694,1,4,12
1237,18,1,0,0
1261,1056,1,1,20
1282,1009,1,12,12
1308,1686,1,11,1
1326,527,1,9,18
1339,3799,1,10,10
1340,2495,1,11,12
1352,2048,1,0,0
1358,1968,1,3,21
1359,2643,1,0,0
1370,1242,1,8,13
1379,734,1,5,20
1398,690,1,9,24
1408,1656,1,9,11
1424,741,1,2,14
1445,324,1,0,0
1450,3848,1,5,24
1465,183,1,0,0
1481,2590,1,10,20
1485,3232,1,4,16
1518,535,1,0,0
1530,2227,1,0,0
1539,3976,1,3,16
1544,3360,1,11,5
1547,282,1,9,24
1548,3254,1,6,15
1559,2977,1,0,0
1568,3738,1,0,0
1580,381,1,11,24
1585,3043,1,1,11
1609,3576,1,3,13
1657,12,1,7,14
1696,680,1,6,10
1708,191,1,8,10
1723,2849,1,0,0
1734,1094,1,11,24
1743,2456,1,0,0
1776,3513,1,11,3
1802,1449,1,3,15
1812,1870,1,0,0
1818,2614,1,0,0
1835,1005,1,0,0
1852,410,1,7,3
1868,811,1,3,16
1870,1139,1,10,16
1922,212,1,11,18
1931,1792,1,11,21
1954,3181,1,0,0
1962,444,1,0,0
1990,2316,1,4,12
2018,3961,1,6,6
2036,1034,1,8,24
2054,2807,1,10,2
2087,534,1,10,17
2102,2449,1,0,0
2120,1753,1,1,11
2146,2875,1,11,23
2154,1081,1,0,0
2182,693,1,10,19
2213,845,1,11,13
2245,1646,1,10,8
2276,2866,1,8,15
2294,339,1,0,0
2309,678,1,10,3
2320,2916,1,6,8
2330,1618,1,5,1
2338,1468,1,0,0
2349,2773,1,0,0
2357,4,1,6,6
2394,2658,1,0,0
2410,3661,1,0,0
2433,3651,1,5,4
2456,3836,1,0,0
2457,2304,1,10,9
2474,211,1,0,0
2491,3095,1,4,19
2493,2543,1,0,0
2508,2323,1,10,24
2528,2404,1,0,0
2554,1095,1,9,7
2559,3712,1,11,15
2567,366,1,0,0
2573,236,1,0,0
2578,2533,1,9,8
2626,1323,1,0,0
2632,2058,1,8,22
2646,1943,1,1,7
2650,181,1,5,19
2666,1046,1,0,0
2670,1991,1,0,0
2676,1586,1,0,0
2719,3416,1,2,12
2745,3160,1,0,0
2758,3798,1,4,21
2791,360,1,10,5
